ISOShNm1,ISOShNm2,year
GERMANY,AUSTRIA,1
GERMANY,BELGIUM,3
GERMANY,BULGARIA,3
GERMANY,DENMARK,4
GERMANY,ESTONIA,1
GERMANY,FINLAND,2
GERMANY,FRANCE,10
GERMANY,GREECE,3
GERMANY,HUNGARY,4
GERMANY,IRELAND,1
GERMANY,ITALY,1
GERMANY,LATVIA,2
GERMANY,LITHUANIA,1
GERMANY,LUXEMBOURG,1
GERMANY,NETHERLANDS,2
GERMANY,NORWAY,4
GERMANY,None,8
GERMANY,PORTUGAL,5
GERMANY,ROMANIA,1
GERMANY,RUSSIAN FEDERATION,3
GERMANY,SPAIN,3
GERMANY,SWEDEN,5
GERMANY,SWITZERLAND,1
GERMANY,TURKEY,3
GERMANY,UNITED KINGDOM,2
GERMANY,UNITED STATES,4
ITALY,ALBANIA,6
ITALY,AUSTRIA,1
ITALY,DENMARK,1
ITALY,FRANCE,6
ITALY,GERMANY,2
ITALY,GREECE,5
ITALY,HUNGARY,1
ITALY,None,6
ITALY,RUSSIAN FEDERATION,2
ITALY,SPAIN,3
ITALY,SWEDEN,2
ITALY,TURKEY,11
ITALY,UNITED KINGDOM,5
RUSSIAN FEDERATION,BELGIUM,1
RUSSIAN FEDERATION,BULGARIA,4
RUSSIAN FEDERATION,DENMARK,1
RUSSIAN FEDERATION,ESTONIA,4
RUSSIAN FEDERATION,FINLAND,3
RUSSIAN FEDERATION,FRANCE,2
RUSSIAN FEDERATION,GERMANY,1
RUSSIAN FEDERATION,GREECE,3
RUSSIAN FEDERATION,HUNGARY,1
RUSSIAN FEDERATION,LATVIA,4
RUSSIAN FEDERATION,LITHUANIA,2
RUSSIAN FEDERATION,NETHERLANDS,1
RUSSIAN FEDERATION,None,3
RUSSIAN FEDERATION,POLAND,4
RUSSIAN FEDERATION,ROMANIA,3
RUSSIAN FEDERATION,SWEDEN,4
RUSSIAN FEDERATION,TURKEY,15
RUSSIAN FEDERATION,UNITED KINGDOM,9
RUSSIAN FEDERATION,UNITED STATES,10
UNITED KINGDOM,BULGARIA,1
UNITED KINGDOM,DENMARK,1
UNITED KINGDOM,FINLAND,1
UNITED KINGDOM,FRANCE,3
UNITED KINGDOM,GERMANY,2
UNITED KINGDOM,GREECE,7
UNITED KINGDOM,HUNGARY,1
UNITED KINGDOM,ITALY,2
UNITED KINGDOM,NETHERLANDS,4
UNITED KINGDOM,NORWAY,1
UNITED KINGDOM,None,3
UNITED KINGDOM,PORTUGAL,5
UNITED KINGDOM,ROMANIA,1
UNITED KINGDOM,RUSSIAN FEDERATION,13
UNITED KINGDOM,SPAIN,1
UNITED KINGDOM,SWEDEN,3
UNITED KINGDOM,SWITZERLAND,1
UNITED KINGDOM,TURKEY,11
UNITED KINGDOM,UNITED STATES,1
