ccode1	ccode2	year	ISO3let1	ISO3let2	ISOShNm1	ISOShNm2	rlregion	region1	region2	tau_regi	tau_glob	tau_ld_1	tau_ld_2	riskT1	riskT2	uncertT	wrTu1v1	wrTu1v2	wrTu1vsq	wrTp1win	wrTstk1	wrTu1sq	wrTu1ac1	wrTu1ac2	wrTu1neg	wrTu1cp1	wrTu1cp2	wrTu1wr1	wrTu1wr2	wrTu2v2	wrTu2v1	wrTu2vsq	wrTp2win	wrTstk2	wrTu2sq	wrTu2ac2	wrTu2ac1	wrTu2neg	wrTu2cp2	wrTu2cp1	wrTu2wr2	wrTu2wr1	cwongo	cwongonm	cwinit	cwhost1	cwhost2	cwhostd	cwinitnm	cwdynm	cwkeynum	cwmidnme
2	230	1816	USA	ESP	UNITED STATES	SPAIN	5	5	1	-0.258199	-0.065795	-0.123665	-0.179005	0.264805	0.669939	 0.4904	1.025024	-1.368436	-0.238012	0.111646	2.39346	-0.238012	-1.368436	1.025024	-1.101216	-2.25679	1.051597	-1.51882	-1.962997	0.627684	-1.511569	-0.575933	0.983162	2.139252	-0.575933	-1.511569	0.627684	0.591662	-1.528407	0.861688	0.817247	0.808828	0	0	1	4	1	4	3239	323901	3239	
365	640	1817	RUS	TUR	RUSSIAN FEDERATION	TURKEY	2	1	2	-0.471405	-0.097823	0.798424	-0.123665	-0.988487	0.674831	 0.5458	1.927677	-1.020003	0.988028	0.313409	2.94768	0.988028	-1.020003	1.927677	-0.096173	-1.706594	1.61802	-0.749125	-1.092421	0.888442	-1.656896	-0.579822	0.486103	2.545338	-0.579822	-1.656896	0.888442	-0.4196	-2.170793	0.408159	-1.156832	-1.41378	0	0	1	3	3	3	3321	332101	3321	Murder of Czerney George of Russia
640	365	1817	TUR	RUS	TURKEY	RUSSIAN FEDERATION	1	2	1	-0.102869	-0.097823	-0.123665	0.798424	0.4871	-0.976202	 0.1765	0.637847	-1.33102	-0.427334	0.264033	1.968868	-0.427334	-1.33102	0.637847	-0.811174	-2.066987	0.750678	-1.066327	-1.43431	1.787894	-0.42861	0.975246	0.494148	2.216504	0.975246	-0.42861	1.787894	0.666672	-0.934462	1.99906	0.624912	0.371987	0	0	1	3	1	3	3320	332001	3320	
220	230	1821	FRA	ESP	FRANCE	SPAIN	1	1	1	-0.047619	-0.045455	-0.123665	-0.123665	-0.968736	0.111263	 0.1726	1.757708	-0.351335	0.967477	0.279681	2.109043	0.967477	-0.351335	1.757708	0.238525	-1.071654	1.487123	-0.39222	-0.752379	0.944673	-1.107474	-0.10165	0.299314	2.052146	-0.10165	-1.107474	0.944673	-0.493237	-1.80816	0.655093	-1.13316	-1.483503	0	0	1	3	1	3	366	36601	366	Spanish Revolution
300	325	1821	xxx	ITA	None	ITALY	1	1	1	-0.218218	-0.204124	0.252431	-0.123665	-0.438037	0.043032	 0.1726	1.552648	-0.987581	0.422056	0.765269	2.54023	0.422056	-0.987581	1.552648	0.956377	-1.222313	1.229662	0.516025	0.39866	1.181277	-1.238072	-0.039594	0.154537	2.419349	-0.039594	-1.238072	1.181277	-0.864193	-2.083535	1.116054	-1.352148	-1.774879	0	0	1	4	4	4	167	16701	167	Defeat of the Carbonari in Piedmont
300	329	1821	xxx	xxx	None	None	1	1	1	-0.218218	-0.204124	0.252431	-0.123665	-0.438037	0.131914	 0.1726	1.552648	-0.987581	0.422056	0.678501	2.54023	0.422056	-0.987581	1.552648	0.735968	-1.30908	1.266283	0.288853	0.128104	1.102967	-1.277716	-0.120256	0.227036	2.380682	-0.120256	-1.277716	1.102967	-0.737215	-2.05068	1.007145	-1.219519	-1.606001	0	0	1	4	4	4	147	14701	147	Neapolitan Revolution
365	640	1821	RUS	TUR	RUSSIAN FEDERATION	TURKEY	2	1	2	-0.471405	-0.097823	0.798424	-0.123665	-0.968874	0.777608	 0.5454	1.923335	-1.032357	0.96762	0.323989	2.955693	0.96762	-1.032357	1.923335	-0.074744	-1.708368	1.609837	-0.726248	-1.064253	0.783882	-1.679992	-0.660493	0.55541	2.463874	-0.660493	-1.679992	0.783882	-0.311532	-2.124583	0.246456	-1.071253	-1.293548	0	0	1	3	4	4	142	14201	142	Morea Insurrection
220	230	1822	FRA	ESP	FRANCE	SPAIN	1	1	1	-0.047619	-0.045455	-0.123665	-0.123665	-1	0.105065	 0.1712	1.773243	-0.321995	1	0.29206	2.095238	1	-0.321995	1.773243	0.289939	-1.029936	1.481183	-0.356091	-0.710061	0.950486	-1.104223	-0.09605	0.270971	2.054709	-0.09605	-1.104223	0.950486	-0.547455	-1.833251	0.679515	-1.182941	-1.547455	1	366	1	5	5	5	89	8901	89	France-Spanish war
200	230	1825	GBR	ESP	UNITED KINGDOM	SPAIN	1	1	1	-0.085229	-0.077589	1	-0.077589	-0.059029	-0.146728	 0.1380	1.137833	-1.053236	0.054882	0.791914	2.191069	0.054882	-1.053236	1.137833	0.681901	-1.261323	1.094371	0.534396	0.430353	1.214019	-1.003923	0.137616	0.156015	2.217942	0.137616	-1.003923	1.214019	-0.65789	-1.847908	1.205456	-1.088445	-1.510437	0	0	1	4	1	4	3233	323301	3233	
325	640	1825	ITA	TUR	ITALY	TURKEY	1	1	2	-0.047619	-0.043478	-0.077589	-0.077589	-0.454747	0.138797	 0.1380	1.429697	-0.765415	0.438783	0.304247	2.195112	0.438783	-0.765415	1.429697	-0.097559	-1.461168	1.296199	-0.578934	-0.92681	0.918739	-1.121802	-0.126439	0.61056	2.040541	-0.126439	-1.121802	0.918739	0.124071	-1.511242	0.650835	-0.338552	-0.533272	0	0	1	4	4	4	1735	173501	1735	
365	640	1826	RUS	TUR	RUSSIAN FEDERATION	TURKEY	2	1	2	-0.142857	-0.041667	-0.074261	-0.074261	0.458297	-0.03925	 0.2161	0.710658	-1.350302	-0.403342	0.866292	2.06096	-0.403342	-1.350302	0.710658	0.435091	-1.48401	1.06007	0.717648	0.650794	1.17716	-1.122825	0.03642	0.275979	2.299986	0.03642	-1.122825	1.17716	-0.488078	-1.846846	1.288474	-0.738775	-1.100785	0	0	1	3	1	3	64	6401	64	Danubian Principalities
200	640	1827	GBR	TUR	UNITED KINGDOM	TURKEY	2	1	2	-0.27501	-0.099131	1	-0.099131	-0.959206	0.287878	 0.3327	1.854426	-0.713771	0.957558	0.355658	2.568197	0.957558	-0.713771	1.854426	0.199628	-1.358113	1.513863	-0.463106	-0.785277	1.022268	-1.391727	-0.258109	0.289768	2.413995	-0.258109	-1.391727	1.022268	-0.692227	-2.101958	0.744798	-1.324813	-1.679929	0	0	1	4	4	4	146	14601	146	Battle of Navarino Bay
220	640	1827	FRA	TUR	FRANCE	TURKEY	2	1	2	-0.27501	-0.074261	0.683157	-0.099131	-0.945512	0.287878	 0.3327	1.849471	-0.724426	0.943301	0.387295	2.573898	0.943301	-0.724426	1.849471	0.272432	-1.337131	1.484135	-0.399257	-0.705609	1.022268	-1.391727	-0.258109	0.26276	2.413995	-0.258109	-1.391727	1.022268	-0.757424	-2.128966	0.774406	-1.373906	-1.742526	0	0	1	4	4	4	146	14601	146	Battle of Navarino Bay
365	640	1827	RUS	TUR	RUSSIAN FEDERATION	TURKEY	2	1	2	-0.27501	-0.074261	0.683157	-0.099131	-0.947356	0.287878	 0.3327	1.850144	-0.722998	0.945221	0.367512	2.573142	0.945221	-0.722998	1.850144	0.222663	-1.355485	1.502764	-0.440961	-0.757205	1.022268	-1.391727	-0.258109	0.274542	2.413995	-0.258109	-1.391727	1.022268	-0.728983	-2.117184	0.762765	-1.351215	-1.713944	0	0	1	5	5	5	189	18901	189	Russo-Turkish War of 1828
365	640	1827	RUS	TUR	RUSSIAN FEDERATION	TURKEY	2	1	2	-0.27501	-0.074261	0.683157	-0.099131	-0.947356	0.287878	 0.3327	1.850144	-0.722998	0.945221	0.367512	2.573142	0.945221	-0.722998	1.850144	0.222663	-1.355485	1.502764	-0.440961	-0.757205	1.022268	-1.391727	-0.258109	0.274542	2.413995	-0.258109	-1.391727	1.022268	-0.728983	-2.117184	0.762765	-1.351215	-1.713944	0	0	1	4	4	4	146	14601	146	Battle of Navarino Bay
220	640	1828	FRA	TUR	FRANCE	TURKEY	2	1	2	-0.237171	-0.071207	0.68713	-0.094916	-0.95262	0.209963	 0.2712	1.836787	-0.658588	0.950702	0.415529	2.495375	0.950702	-0.658588	1.836787	0.378313	-1.243058	1.441743	-0.308966	-0.601202	1.052521	-1.32803	-0.189831	0.218362	2.380551	-0.189831	-1.32803	1.052521	-0.808208	-2.109668	0.844924	-1.406624	-1.797443	1	146	1	4	1	4	367	36701	367	Morea
350	640	1829	GRC	TUR	GREECE	TURKEY	2	1	2	-0.125	-0.04	-0.094916	-0.094916	1	0.20638	 0.2748	0.129171	-1.535534	-0.828427	0.790604	1.664705	-0.828427	-1.535534	0.129171	-0.219411	-1.74493	0.784129	0.33085	0.226152	0.935913	-1.225903	-0.186663	0.563586	2.161816	-0.186663	-1.225903	0.935913	-0.007534	-1.662317	1.402803	0.241149	0.022942	0	0	1	4	4	4	1579	157901	1579	
255	220	1830	DEU	FRA	GERMANY	FRANCE	1	1	1	-0.147442	-0.127257	-0.226294	-0.068394	-0.057682	-0.976459	 0.1580	1.19758	-1.117999	0.053623	0.406099	2.315579	0.053623	-1.117999	1.19758	-0.177645	-1.7119	1.175804	-0.496372	-0.793323	1.808213	-0.497404	0.975513	0.186156	2.305617	0.975513	-0.497404	1.808213	-0.068199	-1.311248	1.798231	-0.485104	-0.892026	0	0	1	3	2	3	370	37001	370	Belgian Independence I
200	220	1831	GBR	FRA	UNITED KINGDOM	FRANCE	1	1	1	-0.077589	-0.063387	1	-0.063387	-0.041844	-0.230934	 0.1502	1.115089	-1.054849	0.038837	0.585043	2.169938	0.038837	-1.054849	1.115089	0.214658	-1.469806	1.092368	-0.015542	-0.223021	1.277808	-0.945921	0.218362	0.292194	2.223728	0.218362	-0.945921	1.277808	-0.296161	-1.653727	1.26646	-0.661412	-1.015315	0	0	1	2	1	2	501	50101	501	Great BritainFrance and Belgian Independence
200	235	1831	GBR	PRT	UNITED KINGDOM	PORTUGAL	1	1	1	0.822753	0.821584	1	0.821584	-0.041844	-0.193089	 0.1502	0.217328	-0.140103	0.038837	0.732488	0.357431	0.038837	-0.140103	0.217328	0.121711	-0.407615	0.18888	-0.040493	-0.174249	0.364062	-0.002466	0.181916	0.256198	0.366528	0.181916	-0.002466	0.364062	0.091438	-0.746268	0.354112	-0.290413	-0.662314	0	0	1	3	1	3	137	13701	137	UK and the Miguelite wars
210	211	1831	NLD	BEL	NETHERLANDS	BELGIUM	1	1	1	-0.043478	-0.035714	-0.063387	-0.063387	-0.184483	-0.126163	 0.1502	1.207013	-0.936406	0.173664	0.319874	2.143419	0.173664	-0.936406	1.207013	-0.250781	-1.616532	1.151462	-0.646395	-0.986458	1.156397	-0.971318	0.118089	0.526486	2.127715	0.118089	-0.971318	1.156397	0.148894	-1.444832	1.064965	-0.179295	-0.416052	0	0	1	4	4	4	25	2501	25	Netherlands-Belgium
220	235	1831	FRA	PRT	FRANCE	PORTUGAL	1	1	1	-0.062869	-0.051434	-0.063387	0.821584	-0.230934	-0.193089	 0.1502	1.264343	-0.929487	0.218362	0.253379	2.19383	0.218362	-0.929487	1.264343	-0.373617	-1.676108	1.209015	-0.802255	-1.175566	1.232483	-0.952422	0.181916	0.574775	2.184905	0.181916	-0.952422	1.232483	0.303407	-1.377647	1.106974	-0.034714	-0.247327	0	0	1	4	1	4	3138	313801	3138	France and the Miguelite wars
255	211	1832	DEU	BEL	GERMANY	BELGIUM	1	1	1	-0.213201	-0.167984	-0.243263	0.29499	-0.197321	-0.155462	 0.1505	1.374215	-1.115615	0.185979	0.263745	2.48983	0.185979	-1.115615	1.374215	-0.458935	-1.85187	1.325164	-0.876113	-1.244241	1.341322	-1.137188	0.145931	0.581833	2.47851	0.145931	-1.137188	1.341322	0.30489	-1.555355	1.233114	-0.012402	-0.221485	0	0	1	3	1	3	368	36801	368	Belgian Independence II
255	220	1832	DEU	FRA	GERMANY	FRANCE	1	1	1	-0.267261	-0.209657	-0.243263	0.53552	-0.197321	-0.227151	 0.1505	1.423024	-1.175486	0.185979	0.229583	2.59851	0.185979	-1.175486	1.423024	-0.578911	-1.945902	1.380327	-1.006817	-1.392025	1.445143	-1.160722	0.214708	0.571878	2.605865	0.214708	-1.160722	1.445143	0.329515	-1.588844	1.338786	0.009097	-0.204964	0	0	1	3	4	4	368	36801	368	Belgian Independence II
200	365	1833	GBR	RUS	UNITED KINGDOM	RUSSIAN FEDERATION	1	1	1	-0.196352	-0.157653	1	-0.157653	-0.029438	-0.288329	 0.1275	1.221513	-1.182175	0.027288	0.507954	2.403688	0.027288	-1.182175	1.221513	0.038788	-1.674221	1.207652	-0.221096	-0.467119	1.428726	-1.047479	0.274108	0.339804	2.476204	0.274108	-1.047479	1.428726	-0.206055	-1.707675	1.419453	-0.545426	-0.875524	0	0	1	3	1	3	153	15301	153	Near Eastern Crisis of 1833
200	640	1833	GBR	TUR	UNITED KINGDOM	TURKEY	2	1	2	-0.285714	-0.107269	1	-0.107269	0.087274	-0.383193	 0.1619	1.212641	-1.322461	-0.079934	0.603714	2.535101	-0.079934	-1.322461	1.212641	0.208015	-1.718747	1.260898	0.058129	-0.140015	1.568729	-1.101772	0.367447	0.265816	2.670501	0.367447	-1.101772	1.568729	-0.39191	-1.835956	1.589977	-0.737754	-1.104846	0	0	1	3	1	3	153	15301	153	Near Eastern Crisis of 1833
220	365	1833	FRA	RUS	FRANCE	RUSSIAN FEDERATION	1	1	1	-0.169031	-0.135873	0.53552	-0.157653	-0.138004	-0.288329	 0.1275	1.285886	-1.098655	0.129323	0.444595	2.384541	0.129323	-1.098655	1.285886	-0.0385	-1.65406	1.22839	-0.373699	-0.651401	1.40509	-1.015919	0.274108	0.367278	2.421009	0.274108	-1.015919	1.40509	-0.126735	-1.648641	1.357592	-0.490594	-0.806955	0	0	1	3	1	3	153	15301	153	Near Eastern Crisis of 1833
220	640	1833	FRA	TUR	FRANCE	TURKEY	2	1	2	-0.285714	-0.09245	0.53552	-0.107269	0.438026	-0.383193	 0.1619	0.892052	-1.454606	-0.386361	0.718594	2.346657	-0.386361	-1.454606	0.892052	0.231688	-1.736012	1.169688	0.368621	0.227918	1.568729	-1.101772	0.367447	0.301721	2.670501	0.367447	-1.101772	1.568729	-0.296027	-1.800051	1.685302	-0.528593	-0.877733	0	0	1	3	1	3	153	15301	153	Near Eastern Crisis of 1833
365	200	1836	RUS	GBR	RUSSIAN FEDERATION	UNITED KINGDOM	1	1	1	-0.224733	-0.179605	-0.179605	1	-0.163441	-0.545609	 0.1394	1.358302	-1.145657	0.153541	0.299456	2.503958	0.153541	-1.145657	1.358302	-0.395832	-1.846201	1.312323	-0.792083	-1.142355	1.626211	-0.930181	0.530422	0.340852	2.556392	0.530422	-0.930181	1.626211	-0.058828	-1.589329	1.573876	-0.440737	-0.770311	0	0	1	4	1	4	216	21601	216	
220	200	1840	FRA	GBR	FRANCE	UNITED KINGDOM	1	1	1	-0.124367	-0.09345	-0.09345	1	-0.467147	-0.999346	 0.1905	1.500006	-0.85222	0.451222	0.113196	2.352227	0.451222	-0.85222	1.500006	-0.585957	-1.739024	1.44893	-1.080436	-1.523838	1.808031	-0.441009	0.99932	0.281999	2.24904	0.99932	-0.441009	1.808031	0.193217	-1.15901	1.680787	-0.293028	-0.652028	0	0	1	3	1	3	217	21701	217	Second Syrian War Dispute
220	255	1840	FRA	DEU	FRANCE	GERMANY	1	1	1	-0.196116	-0.139122	-0.09345	0.388633	-0.467147	-0.351761	 0.1905	1.555225	-0.942258	0.451222	0.165602	2.497484	0.451222	-0.942258	1.555225	-0.528669	-1.776656	1.480502	-1.020592	-1.437791	1.475112	-1.011187	0.336359	0.520201	2.486299	0.336359	-1.011187	1.475112	0.282189	-1.490985	1.240386	-0.192437	-0.432336	0	0	1	3	1	3	217	21701	217	Second Syrian War Dispute
220	300	1840	FRA	xxx	FRANCE	None	1	1	1	-0.230283	-0.158397	-0.09345	0.313715	-0.467147	-0.252794	 0.1905	1.580898	-0.985398	0.451222	0.147726	2.566296	0.451222	-0.985398	1.580898	-0.60629	-1.837672	1.514241	-1.099084	-1.525221	1.431657	-1.105692	0.239528	0.600801	2.537349	0.239528	-1.105692	1.431657	0.41875	-1.504891	1.160563	-0.051944	-0.251543	0	0	1	3	1	3	217	21701	217	Second Syrian War Dispute
220	365	1840	FRA	RUS	FRANCE	RUSSIAN FEDERATION	1	1	1	-0.102062	-0.07729	-0.09345	0.831643	-0.467147	-0.784769	 0.1905	1.48249	-0.824384	0.451222	0.074356	2.306874	0.451222	-0.824384	1.48249	-0.652854	-1.750028	1.448939	-1.149227	-1.612049	1.688435	-0.590735	0.776106	0.511023	2.279171	0.776106	-0.590735	1.688435	0.573974	-1.079712	1.45785	0.098901	-0.145588	0	0	1	3	1	3	217	21701	217	Second Syrian War Dispute
230	235	1840	ESP	PRT	SPAIN	PORTUGAL	1	1	1	-0.060193	-0.046374	-0.09345	0.498986	-0.639515	-0.6559	 0.1905	1.571251	-0.646827	0.626222	0.074044	2.218078	0.626222	-0.646827	1.571251	-0.482592	-1.572783	1.524883	-0.991938	-1.454916	1.582143	-0.634262	0.643036	0.643555	2.216406	0.643036	-0.634262	1.582143	0.792117	-0.990707	1.179135	0.210886	0.032664	0	0	1	3	3	3	1540	154001	1540	Douro River
300	327	1847	xxx	xxx	None	None	1	1	1	-0.203519	-0.125562	-0.293755	-0.06323	-0.031494	-0.202841	 0.2145	1.230332	-1.188462	0.0292	0.578394	2.418793	0.0292	-1.188462	1.230332	0.210554	-1.610067	1.213443	-0.017137	-0.22794	1.369734	-1.101997	0.191283	0.348504	2.471732	0.191283	-1.101997	1.369734	-0.240588	-1.753493	1.359558	-0.576512	-0.90226	0	0	1	3	1	3	78	7801	78	Austria-Papal States
200	329	1848	GBR	xxx	UNITED KINGDOM	None	1	1	1	-0.098639	-0.066503	1	-0.066503	-0.067105	-0.1489	 0.2246	1.158054	-1.062646	0.062442	0.740851	2.220699	0.062442	-1.062646	1.158054	0.582561	-1.321795	1.111794	0.406726	0.277152	1.22856	-1.017092	0.139682	0.191093	2.245653	0.139682	-1.017092	1.22856	-0.587963	-1.825999	1.216628	-1.004349	-1.408802	0	0	1	3	1	3	198	19801	198	Sicilian insurrection
220	329	1848	FRA	xxx	FRANCE	None	1	1	1	-0.05547	-0.037716	-0.046402	-0.066503	-0.166081	-0.1489	 0.2246	1.202476	-0.960511	0.156061	0.593946	2.162987	0.156061	-0.960511	1.202476	0.324187	-1.366565	1.109784	0.028468	-0.174559	1.187654	-0.970702	0.139682	0.284063	2.158356	0.139682	-0.970702	1.187654	-0.357592	-1.686639	1.143322	-0.759892	-1.11786	0	0	1	3	1	3	198	19801	198	Sicilian insurrection
255	390	1848	DEU	DNK	GERMANY	DENMARK	1	1	1	-0.162611	-0.101678	-0.179284	-0.046402	-0.303825	-0.2117	 0.2246	1.411336	-0.999538	0.289255	0.631734	2.410873	0.289255	-0.999538	1.411336	0.523494	-1.367803	1.228603	0.156629	-0.027503	1.339608	-1.051793	0.199807	0.237916	2.391401	0.199807	-1.051793	1.339608	-0.482839	-1.813876	1.270789	-0.9327	-1.313741	0	0	1	5	5	5	375	37501	375	First Schleswig Holstein War, 1st phase
300	325	1848	xxx	ITA	None	ITALY	1	1	1	0.104828	0.185164	-0.214052	-0.082572	-0.090986	-0.092016	 0.2246	0.980607	-0.837217	0.084866	0.515259	1.817824	0.084866	-0.837217	0.980607	0.099434	-1.321958	0.936879	-0.186665	-0.429035	0.981565	-0.836547	0.085836	0.430734	1.818112	0.085836	-0.836547	0.981565	-0.053423	-1.405812	0.945011	-0.374611	-0.659244	0	0	1	5	5	5	19	1901	19	
327	300	1848	xxx	xxx	None	None	1	1	1	-0.203519	-0.121395	-0.046402	-0.214052	-0.160716	-0.090986	 0.2246	1.336519	-1.123995	0.150941	0.286621	2.460513	0.150941	-1.123995	1.336519	-0.418761	-1.837374	1.293256	-0.818713	-1.175403	1.280001	-1.159331	0.084866	0.644548	2.439332	0.084866	-1.159331	1.280001	0.412937	-1.514782	1.182712	0.137922	-0.039804	1	78	1	4	4	4	374	37401	374	
200	365	1849	GBR	RUS	UNITED KINGDOM	RUSSIAN FEDERATION	1	1	1	-0.098639	-0.066503	1	-0.066503	-0.05268	-0.086126	 0.2299	1.145398	-1.070485	0.048948	0.484434	2.215883	0.048948	-1.070485	1.145398	0.002963	-1.586052	1.121686	-0.278532	-0.536316	1.174642	-1.052221	0.080293	0.443288	2.226863	0.080293	-1.052221	1.174642	-0.065078	-1.608932	1.152944	-0.365133	-0.643488	0	0	1	3	2	3	236	23601	236	Hungarian Refugee Crisis
220	365	1849	FRA	RUS	FRANCE	RUSSIAN FEDERATION	1	1	1	-0.05547	-0.037716	-0.046402	-0.066503	-0.061529	-0.086126	 0.2299	1.110871	-1.021197	0.057221	0.297061	2.132068	0.057221	-1.021197	1.110871	-0.387842	-1.724135	1.093873	-0.756309	-1.107778	1.132718	-1.007203	0.080293	0.641022	2.139921	0.080293	-1.007203	1.132718	0.364534	-1.36618	1.096038	0.148366	-0.031123	0	0	1	3	2	3	236	23601	236	Hungarian Refugee Crisis
300	327	1849	xxx	xxx	None	None	1	1	1	-0.069338	-0.046829	-0.082572	-0.046402	0.008803	-0.16641	 0.2299	1.061363	-1.074097	-0.008128	0.856653	2.135461	-0.008128	-1.074097	1.061363	0.755252	-1.217444	1.068326	0.690541	0.618868	1.215828	-0.975332	0.156376	0.120241	2.19116	0.156376	-0.975332	1.215828	-0.711864	-1.855091	1.216805	-1.150766	-1.590646	0	0	1	5	5	5	175	17501	175	War of the Roman Republic
300	337	1849	xxx	xxx	None	None	1	1	1	-0.069338	-0.046829	-0.082572	-0.046402	0.008803	-0.435071	 0.2299	1.061363	-1.074097	-0.008128	0.861258	2.135461	-0.008128	-1.074097	1.061363	0.765084	-1.21284	1.068364	0.702713	0.633342	1.432509	-0.805603	0.419091	0.089596	2.238112	0.419091	-0.805603	1.432509	-0.605076	-1.716007	1.433237	-1.05955	-1.514751	0	0	1	4	1	4	231	23101	231	
200	350	1850	GBR	GRC	UNITED KINGDOM	GREECE	1	1	1	-0.068394	-0.046402	1	-0.046402	-0.033746	-0.349057	 0.2239	1.098775	-1.049939	0.031295	0.871035	2.148714	0.031295	-1.049939	1.098775	0.821665	-1.178904	1.071515	0.729923	0.66544	1.365283	-0.861457	0.333693	0.084727	2.22674	0.333693	-0.861457	1.365283	-0.672791	-1.77673	1.362632	-1.133079	-1.590716	0	0	1	4	1	4	71	7101	71	Don Pacifico Affair
255	273	1850	DEU	xxx	GERMANY	None	1	1	1	1	1	-0.167968	-0.167968	-0.37131	-0.870426	 0.2239	0.35673	0.354622	0.355676	0.947657	0.002109	0.355676	0.354622	0.35673	0.35662	0.302279	0.019671	-0.00661	-0.032782	0.866155	0.864093	0.865124	0.05222	0.002063	0.865124	0.864093	0.866155	0.8642	-0.083688	0.847582	0.371737	-0.102153	0	0	1	4	1	4	154	15401	154	Punctuation of Olmutz
255	300	1850	DEU	xxx	GERMANY	None	1	1	1	0.857493	0.88083	-0.167968	-0.190693	-0.37131	-0.097689	 0.2239	0.5044	0.203925	0.355676	0.381228	0.300475	0.355676	0.203925	0.5044	0.318475	-0.414847	0.368807	-0.126505	-0.435891	0.235989	-0.054328	0.091179	0.585555	0.290317	0.091179	-0.054328	0.235989	0.115668	-0.468773	0.027721	-0.299822	-0.507045	0	0	1	4	4	4	154	15401	154	Punctuation of Olmutz
220	640	1852	FRA	TUR	FRANCE	TURKEY	2	1	2	-0.111111	-0.025641	-0.045191	-0.045191	0.410288	0.146203	 0.1682	0.723496	-1.305047	-0.362997	0.814451	2.028543	-0.362997	-1.305047	0.723496	0.347102	-1.490596	1.01914	0.54997	0.457195	0.977751	-1.184633	-0.133082	0.401739	2.162384	-0.133082	-1.184633	0.977751	-0.31592	-1.782894	1.123581	-0.469221	-0.768351	0	0	1	3	1	3	377	37701	377	Holy Placer
300	325	1853	xxx	ITA	None	ITALY	1	1	1	-0.179161	-0.111111	-0.195827	-0.045191	-0.095077	-0.128585	 0.2290	1.259995	-1.131722	0.088718	0.651099	2.391716	0.088718	-1.131722	1.259995	0.425522	-1.480623	1.202231	0.193307	0.018856	1.28771	-1.114433	0.120384	0.286331	2.402143	0.120384	-1.114433	1.28771	-0.426626	-1.828102	1.262307	-0.808863	-1.165698	0	0	1	4	3	4	3326	332601	3326	Insurrection in Milan
300	640	1853	xxx	TUR	None	TURKEY	2	1	2	-0.218218	-0.111111	-0.195827	-0.045191	-0.212392	0.156751	 0.1659	1.390393	-1.11332	0.200474	0.575353	2.503712	0.200474	-1.11332	1.390393	0.327198	-1.537967	1.27505	-0.000469	-0.212792	1.08062	-1.288478	-0.142524	0.401164	2.369097	-0.142524	-1.288478	1.08062	-0.338081	-1.887314	1.000197	-0.717922	-1.01734	0	0	1	3	1	3	126	12601	126	Leiningen Mission
365	640	1853	RUS	TUR	RUSSIAN FEDERATION	TURKEY	2	1	2	-0.166667	-0.036736	-0.064745	-0.045191	0.226547	0.156751	 0.1659	0.961316	-1.272275	-0.204463	0.852821	2.233591	-0.204463	-1.272275	0.961316	0.632578	-1.419454	1.135686	0.733358	0.659768	1.026191	-1.240994	-0.142524	0.277927	2.267185	-0.142524	-1.240994	1.026191	-0.610883	-1.963068	1.083016	-0.915094	-1.27613	0	0	1	5	5	5	57	5701	57	Crimean War
